C,R,H,GE,GR,P,PR
BENG 100,69.92,6.26,3.36,3.35,Abbasi Shaghayegh,100.0
BENG 102,68.55,6.06,3.71,3.64,Engler Adam J.,72.0
BENG 103B,74.0,9.51,3.31,3.27,Fraley Stephanie I.,77.12
BENG 110,79.68,6.91,3.32,3.19,Mc Culloch Andrew Douglas,80.54
BENG 112A,93.77,6.52,3.35,3.06,Valdez-Jasso Daniela,99.63
BENG 112B,85.98,6.48,3.43,3.57,Engler Adam J.,100.0
BENG 119A,100.0,4.75,3.95,3.78,Wheeler Bruce Christopher,100.0
BENG 119B,91.42,7.6,3.96,3.87,Taylor Amos Alyssa C,100.0
BENG 120,58.81,6.91,3.42,3.6,Huang Xiaohua,68.03
BENG 122A,60.44,6.97,3.52,3.53,Cauwenberghs Gert,88.57
BENG 123,67.52,11.38,3.33,3.02,Haiman Zachary Brandon,87.5
BENG 125,85.25,5.9,3.45,3.51,Wheeler Bruce Christopher,91.33
BENG 126A,77.77,3.99,3.89,3.82,Wheeler Bruce Christopher,95.23
BENG 126B,81.85,6.88,3.93,3.88,Wheeler Bruce Christopher,100.0
BENG 127A,100.0,6.68,3.9,3.89,Wheeler Bruce Christopher,100.0
BENG 127B,100.0,7.06,4.0,3.92,Wheeler Bruce Christopher,100.0
BENG 129A,88.9,5.61,4.0,3.95,Wheeler Bruce Christopher,100.0
BENG 129B,80.0,4.9,4.0,3.95,Wheeler Bruce Christopher,80.0
BENG 130,61.65,6.72,3.29,3.36,Subramaniam Shankar,79.67
BENG 133,88.1,8.2,3.28,3.56,Mali Prashant Gulab Ram,90.12
BENG 134,68.45,9.88,3.03,3.23,Smarr Benjamin,81.95
BENG 135,96.88,6.43,3.77,3.62,Wheeler Bruce Christopher,95.32
BENG 140A,86.2,5.85,3.46,3.48,Cabrales Pedro,96.1
BENG 140B,84.37,6.64,3.5,3.34,Cabrales Pedro,92.78
BENG 141,92.5,4.79,3.84,3.85,Lal Ratnesh,87.72
BENG 152,96.3,7.37,3.9,3.8,Wheeler Bruce Christopher,100.0
BENG 160,85.32,7.8,3.67,3.69,Zhang Kun,89.38
BENG 161A,87.0,8.53,3.47,3.33,Lewis Nathan E,100.0
BENG 161B,70.85,7.06,3.61,3.41,Huang Xiaohua,76.78
BENG 162,79.72,8.16,3.53,3.48,Mali Prashant Gulab Ram,76.08
BENG 166A,54.95,6.93,3.67,3.72,Sah Robert Lie-Yuan,60.4
BENG 168,85.6,6.57,3.41,3.67,Wang Yingxiao,83.22
BENG 169A,88.9,4.72,4.0,3.92,Wheeler Bruce Christopher,100.0
BENG 169B,100.0,5.24,4.0,3.92,Wheeler Bruce Christopher,100.0
BENG 172,85.52,9.83,3.73,3.61,Cabrales Pedro,98.28
BENG 179A,95.0,6.62,4.0,3.79,Wheeler Bruce Christopher,97.5
BENG 179B,81.63,7.44,3.86,3.78,Wheeler Bruce Christopher,93.32
BENG 181,85.98,17.08,3.49,3.44,Pevzner Pavel Arkadjevich,75.56
BENG 182,79.2,7.32,3.58,3.55,Bafna Vineet,88.12
BENG 183,83.18,6.27,3.74,3.77,Benner Christopher William,92.6
BENG 186A,85.95,6.52,3.39,3.32,Kwon Ester Jihae,91.02
BENG 186B,80.82,9.88,3.3,3.39,Cauwenberghs Gert,89.7
BENG 187A,88.92,1.75,3.98,3.0,Wheeler Bruce Christopher,97.0
BENG 187D,94.71,4.98,3.93,3.88,Wheeler Bruce Christopher,95.97
BENG 189,90.1,8.39,3.43,3.59,Contijoch Francisco,96.18
BENG 193,100.0,4.31,3.95,4.0,Engler Adam J.,100.0
BENG 2,96.15,6.11,3.48,3.44,Wheeler Bruce Christopher,100.0
CSE 100,94.98,11.9,3.44,3.2,Alvarado Christine J.,99.4
CSE 100R,97.63,8.24,3.63,3.49,Moshiri Alexander Niema,98.65
