Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Alexandrov Ludmil B,BENG 100 - Intro to Prob & Stats for BENG (A),SP23,61.5%,86.2%,6.56,B (3.03),B (3.03)
Fraley Stephanie I.,BENG 103B - Bioengineering Mass Transfer (A),SP23,75.0%,94.0%,8.6,B (3.22),B (3.09)
Shi Lingyan,BENG 112B - Fluid and Cell Biomechanics (A),SP23,84.2%,71.1%,5.24,B+ (3.50),B (3.21)
Hasty Jeff M,BENG 125 - Modeling & Computatio/Bioengr (A),SP23,88.9%,80.6%,4.27,B+ (3.57),B+ (3.46)
Cabrales Pedro,BENG 140B - Bioengineering Physiology (A),SP23,80.4%,82.6%,6.88,B+ (3.32),B (3.25)
Cabrales Pedro,BENG 172 - Bioengineering Laboratory (A),SP23,75.0%,100.0%,8.02,A- (3.80),B+ (3.62)
Omens Jeffrey Howard,BENG 172 - Bioengineering Laboratory (A),SP23,75.0%,94.1%,8.02,A- (3.80),B+ (3.62)
Bafna Vineet,BENG 182 - Biological Databases (A),SP23,71.4%,85.7%,4.79,A- (3.71),B (3.22)
Omens Jeffrey Howard,BENG 87 - Freshman Seminar (A),SP23,83.3%,100.0%,1.83,A (4.00),
Sahoo Debashis,CSE 100 - Advanced Data Structures (A),SP23,95.9%,79.7%,7.87,B+ (3.65),B+ (3.37)
Sahoo Debashis,CSE 100R - Advanced Data Structures (A),SP23,94.6%,71.2%,8.39,B+ (3.58),B+ (3.49)
Jones Miles E,CSE 101 - Design & Analysis of Algorithm (A),SP23,92.2%,94.8%,8.8,B+ (3.43),B+ (3.43)
Micciancio Daniele,CSE 107 - Intro to Modern Cryptography (A),SP23,71.4%,71.4%,7.74,B (3.19),C+ (2.36)
Shang Jingbo,CSE 109 - Intro to Programming Contests (A),SP23,100.0%,100.0%,3.61,A (4.00),
Cao Yingjun,CSE 11 - Accel. Intro to Programming (A),SP23,100.0%,97.6%,8.6,B+ (3.47),B (3.11)
Powell Thomas Allan,CSE 110 - Software Engineering (A),SP23,67.9%,67.5%,7.94,A- (3.70),B+ (3.41)
Miranda Gregory Joseph,CSE 110 - Software Engineering (B),SP23,81.7%,95.0%,9.4,B+ (3.48),B+ (3.38)
Cao Yingjun,CSE 12 - Basic Data Struct & OO Design (A),SP23,96.7%,96.7%,7.9,B+ (3.61),B+ (3.33)
Zhang Yiying,CSE 120 - Princ/Computer Operating Systm (A),SP23,77.4%,77.4%,11.53,B+ (3.33),B (3.18)
Shalev Aaron D,CSE 123 - Computer Networks (A),SP23,100.0%,100.0%,12.23,B (3.00),C+ (2.46)
Voelker Geoffrey M.,CSE 125 - Software Sys Design & Implemnt (A),SP23,100.0%,100.0%,9.17,A- (3.88),A (4.00)
Fernandes Earlence T,CSE 127 - Intro to Computer Security (A),SP23,83.7%,76.7%,8.78,B (3.22),B (3.29)
Polikarpova Nadezhda,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SP23,92.6%,94.4%,8.12,A- (3.79),B+ (3.53)
Deutsch Alin Bernard,CSE 132B - Database System Applications (A),SP23,92.3%,92.3%,8.96,B+ (3.54),A- (3.71)
Kumar Arun Kumar,CSE 132C - Database System Implementation (A),SP23,92.9%,92.9%,8.79,B+ (3.48),B- (2.81)
Powell Thomas Allan,CSE 135 - Online Database Analytics Appl (A),SP23,93.3%,93.3%,11.6,B+ (3.32),B (3.22)
Chin Bryan W.,CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP23,86.9%,91.8%,7.85,B+ (3.39),B- (2.93)
Eldon John,CSE 140L - Digital Systems Laboratory (A),SP23,78.3%,85.5%,6.8,A- (3.70),B+ (3.49)
Eldon John,CSE 141L - Project/Computer Architecture (A),SP23,80.4%,92.0%,7.65,B+ (3.46),B+ (3.37)
Gupta Rajesh K.,CSE 143 - Microelectronic System Design (A),SP23,85.7%,100.0%,5.64,B (3.20),B+ (3.31)
Tullsen Dean Michael,CSE 148 - Adv Processor Arch Design Proj (A),SP23,85.7%,100.0%,7.64,B+ (3.33),
Gao Sicun,CSE 150B - AI: Search and Reasoning (A),SP23,97.7%,97.7%,7.19,A- (3.72),B+ (3.64)
Shang Jingbo,CSE 151A - Intro to Machine Learning (A),SP23,94.1%,90.1%,5.88,A- (3.74),A- (3.72)
Yu Qi,CSE 151B - Deep Learning (A),SP23,76.5%,70.4%,9.23,B+ (3.57),B+ (3.63)
Chandraker Manmohan Krishna,CSE 152B - Intro to Comp Vision II (A),SP23,90.6%,90.6%,8.19,B+ (3.69),A- (3.73)
Schulze Jurgen P.,CSE 165 - 3D User Interaction (A),SP23,100.0%,100.0%,14.5,A (4.00),A- (3.82)
Weibel Nadir,CSE 165 - 3D User Interaction (A),SP23,100.0%,66.7%,14.5,A (4.00),A- (3.82)
Li Tzumao,CSE 168 - Computer Graphics II:Rendering (A),SP23,100.0%,100.0%,11.42,B+ (3.60),B+ (3.62)
Kumar Rakesh,CSE 175 - Entrepreneurship for Engineers (A),SP23,91.4%,85.7%,4.96,A- (3.80),B (3.27)
Bafna Vineet,CSE 182 - Biological Databases (A),SP23,88.9%,100.0%,7.0,B+ (3.63),A- (3.74)
